"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 14:28:28 GMT 2023","Fri Apr 14 14:28:39 GMT 2023","10824","Vizsgaremek","conduit_test","TestConduit","","","test_article_create1",""
"passed","Fri Apr 14 14:27:59 GMT 2023","Fri Apr 14 14:28:01 GMT 2023","2124","Vizsgaremek","conduit_test","TestConduit","","","test_registration",""
"passed","Fri Apr 14 14:28:22 GMT 2023","Fri Apr 14 14:28:22 GMT 2023","272","Vizsgaremek","conduit_test","TestConduit","","","test_login",""
"passed","Fri Apr 14 14:28:08 GMT 2023","Fri Apr 14 14:28:14 GMT 2023","5328","Vizsgaremek","conduit_test","TestConduit","","","test_registration_empty_fields",""
"passed","Fri Apr 14 14:28:26 GMT 2023","Fri Apr 14 14:28:27 GMT 2023","932","Vizsgaremek","conduit_test","TestConduit","","","test_tags",""
"passed","Fri Apr 14 14:29:24 GMT 2023","Fri Apr 14 14:29:31 GMT 2023","7002","Vizsgaremek","conduit_test","TestConduit","","","test_comment_delete",""
"passed","Fri Apr 14 14:28:02 GMT 2023","Fri Apr 14 14:28:07 GMT 2023","5350","Vizsgaremek","conduit_test","TestConduit","","","test_registration_wrong_email",""
"passed","Fri Apr 14 14:30:19 GMT 2023","Fri Apr 14 14:31:31 GMT 2023","71780","Vizsgaremek","conduit_test","TestConduit","","","test_tobszoros_adatbevitel",""
"passed","Fri Apr 14 14:27:56 GMT 2023","Fri Apr 14 14:27:57 GMT 2023","1051","Vizsgaremek","conduit_test","TestConduit","","","test_cookies",""
"passed","Fri Apr 14 14:30:17 GMT 2023","Fri Apr 14 14:30:18 GMT 2023","1020","Vizsgaremek","conduit_test","TestConduit","","","test_save",""
"passed","Fri Apr 14 14:28:24 GMT 2023","Fri Apr 14 14:28:25 GMT 2023","977","Vizsgaremek","conduit_test","TestConduit","","","test_page_number",""
"passed","Fri Apr 14 14:29:16 GMT 2023","Fri Apr 14 14:29:23 GMT 2023","6988","Vizsgaremek","conduit_test","TestConduit","","","test_comment_create",""
"passed","Fri Apr 14 14:29:34 GMT 2023","Fri Apr 14 14:30:15 GMT 2023","41104","Vizsgaremek","conduit_test","TestConduit","","","test_source",""
"passed","Fri Apr 14 14:28:40 GMT 2023","Fri Apr 14 14:28:54 GMT 2023","14331","Vizsgaremek","conduit_test","TestConduit","","","test_article_edit",""
"passed","Fri Apr 14 14:28:55 GMT 2023","Fri Apr 14 14:29:15 GMT 2023","19705","Vizsgaremek","conduit_test","TestConduit","","","test_article_delete",""
"passed","Fri Apr 14 14:28:20 GMT 2023","Fri Apr 14 14:28:21 GMT 2023","853","Vizsgaremek","conduit_test","TestConduit","","","test_login_wrong_password",""
"passed","Fri Apr 14 14:28:15 GMT 2023","Fri Apr 14 14:28:19 GMT 2023","4264","Vizsgaremek","conduit_test","TestConduit","","","test_login_empty_fields",""
"passed","Fri Apr 14 14:29:32 GMT 2023","Fri Apr 14 14:29:33 GMT 2023","826","Vizsgaremek","conduit_test","TestConduit","","","test_log_out",""
