"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 12:21:24 GMT 2023","Fri Apr 14 12:21:25 GMT 2023","949","Vizsgaremek","conduit_test","TestConduit","","","test_tags",""
"passed","Fri Apr 14 12:20:56 GMT 2023","Fri Apr 14 12:20:58 GMT 2023","2081","Vizsgaremek","conduit_test","TestConduit","","","test_registration",""
"passed","Fri Apr 14 12:22:16 GMT 2023","Fri Apr 14 12:22:57 GMT 2023","41260","Vizsgaremek","conduit_test","TestConduit","","","test_source",""
"passed","Fri Apr 14 12:21:17 GMT 2023","Fri Apr 14 12:21:18 GMT 2023","860","Vizsgaremek","conduit_test","TestConduit","","","test_login_wrong_password",""
"passed","Fri Apr 14 12:21:06 GMT 2023","Fri Apr 14 12:21:11 GMT 2023","5321","Vizsgaremek","conduit_test","TestConduit","","","test_registration_empty_fields",""
"passed","Fri Apr 14 12:22:07 GMT 2023","Fri Apr 14 12:22:13 GMT 2023","6454","Vizsgaremek","conduit_test","TestConduit","","","test_comment_delete",""
"passed","Fri Apr 14 12:21:26 GMT 2023","Fri Apr 14 12:21:37 GMT 2023","10789","Vizsgaremek","conduit_test","TestConduit","","","test_article_create1",""
"passed","Fri Apr 14 12:21:19 GMT 2023","Fri Apr 14 12:21:20 GMT 2023","297","Vizsgaremek","conduit_test","TestConduit","","","test_login",""
"passed","Fri Apr 14 12:21:12 GMT 2023","Fri Apr 14 12:21:16 GMT 2023","4267","Vizsgaremek","conduit_test","TestConduit","","","test_login_empty_fields",""
"passed","Fri Apr 14 12:22:59 GMT 2023","Fri Apr 14 12:23:00 GMT 2023","1039","Vizsgaremek","conduit_test","TestConduit","","","test_save",""
"passed","Fri Apr 14 12:20:59 GMT 2023","Fri Apr 14 12:21:04 GMT 2023","5407","Vizsgaremek","conduit_test","TestConduit","","","test_registration_wrong_email",""
"passed","Fri Apr 14 12:20:54 GMT 2023","Fri Apr 14 12:20:55 GMT 2023","1057","Vizsgaremek","conduit_test","TestConduit","","","test_cookies",""
"passed","Fri Apr 14 12:22:14 GMT 2023","Fri Apr 14 12:22:15 GMT 2023","830","Vizsgaremek","conduit_test","TestConduit","","","test_log_out",""
"passed","Fri Apr 14 12:23:01 GMT 2023","Fri Apr 14 12:24:13 GMT 2023","71830","Vizsgaremek","conduit_test","TestConduit","","","test_tobszoros_adatbevitel",""
"passed","Fri Apr 14 12:21:38 GMT 2023","Fri Apr 14 12:21:58 GMT 2023","19698","Vizsgaremek","conduit_test","TestConduit","","","test_article_delete",""
"passed","Fri Apr 14 12:21:21 GMT 2023","Fri Apr 14 12:21:22 GMT 2023","1052","Vizsgaremek","conduit_test","TestConduit","","","test_page_number",""
"passed","Fri Apr 14 12:21:59 GMT 2023","Fri Apr 14 12:22:06 GMT 2023","6882","Vizsgaremek","conduit_test","TestConduit","","","test_comment_create",""
