"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 14:19:10 GMT 2023","Fri Apr 14 14:19:11 GMT 2023","1071","Vizsgaremek","conduit_test","TestConduit","","","test_cookies",""
"passed","Fri Apr 14 14:21:29 GMT 2023","Fri Apr 14 14:22:41 GMT 2023","71889","Vizsgaremek","conduit_test","TestConduit","","","test_tobszoros_adatbevitel",""
"passed","Fri Apr 14 14:19:12 GMT 2023","Fri Apr 14 14:19:15 GMT 2023","2336","Vizsgaremek","conduit_test","TestConduit","","","test_registration",""
"passed","Fri Apr 14 14:19:36 GMT 2023","Fri Apr 14 14:19:36 GMT 2023","301","Vizsgaremek","conduit_test","TestConduit","","","test_login",""
"passed","Fri Apr 14 14:20:27 GMT 2023","Fri Apr 14 14:20:34 GMT 2023","6888","Vizsgaremek","conduit_test","TestConduit","","","test_comment_create",""
"passed","Fri Apr 14 14:19:22 GMT 2023","Fri Apr 14 14:19:28 GMT 2023","5321","Vizsgaremek","conduit_test","TestConduit","","","test_registration_empty_fields",""
"passed","Fri Apr 14 14:19:34 GMT 2023","Fri Apr 14 14:19:35 GMT 2023","849","Vizsgaremek","conduit_test","TestConduit","","","test_login_wrong_password",""
"passed","Fri Apr 14 14:19:16 GMT 2023","Fri Apr 14 14:19:21 GMT 2023","5347","Vizsgaremek","conduit_test","TestConduit","","","test_registration_wrong_email",""
"passed","Fri Apr 14 14:20:45 GMT 2023","Fri Apr 14 14:21:26 GMT 2023","41189","Vizsgaremek","conduit_test","TestConduit","","","test_source",""
"passed","Fri Apr 14 14:21:27 GMT 2023","Fri Apr 14 14:21:28 GMT 2023","1082","Vizsgaremek","conduit_test","TestConduit","","","test_save",""
"failed","Fri Apr 14 14:19:54 GMT 2023","Fri Apr 14 14:20:05 GMT 2023","10818","Vizsgaremek","conduit_test","TestConduit","","","test_article_edit",""
"passed","Fri Apr 14 14:19:40 GMT 2023","Fri Apr 14 14:19:41 GMT 2023","957","Vizsgaremek","conduit_test","TestConduit","","","test_tags",""
"passed","Fri Apr 14 14:19:38 GMT 2023","Fri Apr 14 14:19:39 GMT 2023","982","Vizsgaremek","conduit_test","TestConduit","","","test_page_number",""
"passed","Fri Apr 14 14:20:06 GMT 2023","Fri Apr 14 14:20:26 GMT 2023","19728","Vizsgaremek","conduit_test","TestConduit","","","test_article_delete",""
"passed","Fri Apr 14 14:19:29 GMT 2023","Fri Apr 14 14:19:33 GMT 2023","4259","Vizsgaremek","conduit_test","TestConduit","","","test_login_empty_fields",""
"passed","Fri Apr 14 14:20:35 GMT 2023","Fri Apr 14 14:20:42 GMT 2023","6540","Vizsgaremek","conduit_test","TestConduit","","","test_comment_delete",""
"passed","Fri Apr 14 14:19:42 GMT 2023","Fri Apr 14 14:19:53 GMT 2023","10886","Vizsgaremek","conduit_test","TestConduit","","","test_article_create1",""
"passed","Fri Apr 14 14:20:43 GMT 2023","Fri Apr 14 14:20:44 GMT 2023","829","Vizsgaremek","conduit_test","TestConduit","","","test_log_out",""
