"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 14 07:24:56 GMT 2023","Fri Apr 14 07:25:01 GMT 2023","5286","Vizsgaremek","conduit_test","TestConduit","","","test_article_delete",""
"passed","Fri Apr 14 07:25:02 GMT 2023","Fri Apr 14 07:25:09 GMT 2023","6931","Vizsgaremek","conduit_test","TestConduit","","","test_comment_create",""
"passed","Fri Apr 14 07:24:11 GMT 2023","Fri Apr 14 07:24:13 GMT 2023","1084","Vizsgaremek","conduit_test","TestConduit","","","test_cookies",""
"passed","Fri Apr 14 07:24:39 GMT 2023","Fri Apr 14 07:24:40 GMT 2023","1054","Vizsgaremek","conduit_test","TestConduit","","","test_page_number",""
"passed","Fri Apr 14 07:24:17 GMT 2023","Fri Apr 14 07:24:23 GMT 2023","5344","Vizsgaremek","conduit_test","TestConduit","","","test_registration_wrong_email",""
"passed","Fri Apr 14 07:24:24 GMT 2023","Fri Apr 14 07:24:29 GMT 2023","5308","Vizsgaremek","conduit_test","TestConduit","","","test_registration_empty_fields",""
"passed","Fri Apr 14 07:24:36 GMT 2023","Fri Apr 14 07:24:37 GMT 2023","848","Vizsgaremek","conduit_test","TestConduit","","","test_login_wrong_password",""
"passed","Fri Apr 14 07:24:44 GMT 2023","Fri Apr 14 07:24:54 GMT 2023","10798","Vizsgaremek","conduit_test","TestConduit","","","test_article_create1",""
"passed","Fri Apr 14 07:24:14 GMT 2023","Fri Apr 14 07:24:16 GMT 2023","2265","Vizsgaremek","conduit_test","TestConduit","","","test_registration",""
"passed","Fri Apr 14 07:24:30 GMT 2023","Fri Apr 14 07:24:35 GMT 2023","4274","Vizsgaremek","conduit_test","TestConduit","","","test_login_empty_fields",""
"broken","Fri Apr 14 07:25:20 GMT 2023","Fri Apr 14 07:25:24 GMT 2023","4277","Vizsgaremek","conduit_test","TestConduit","","","test_source",""
"passed","Fri Apr 14 07:25:18 GMT 2023","Fri Apr 14 07:25:19 GMT 2023","832","Vizsgaremek","conduit_test","TestConduit","","","test_log_out",""
"passed","Fri Apr 14 07:24:41 GMT 2023","Fri Apr 14 07:24:42 GMT 2023","976","Vizsgaremek","conduit_test","TestConduit","","","test_tags",""
"passed","Fri Apr 14 07:24:38 GMT 2023","Fri Apr 14 07:24:38 GMT 2023","297","Vizsgaremek","conduit_test","TestConduit","","","test_login",""
"passed","Fri Apr 14 07:25:25 GMT 2023","Fri Apr 14 07:25:26 GMT 2023","1016","Vizsgaremek","conduit_test","TestConduit","","","test_save",""
"passed","Fri Apr 14 07:25:10 GMT 2023","Fri Apr 14 07:25:17 GMT 2023","6427","Vizsgaremek","conduit_test","TestConduit","","","test_comment_delete",""
