"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 08:34:50 GMT 2023","Fri Apr 14 08:34:57 GMT 2023","6860","Vizsgaremek","conduit_test","TestConduit","","","test_comment_create",""
"passed","Fri Apr 14 08:33:51 GMT 2023","Fri Apr 14 08:33:57 GMT 2023","5330","Vizsgaremek","conduit_test","TestConduit","","","test_registration_wrong_email",""
"passed","Fri Apr 14 08:34:04 GMT 2023","Fri Apr 14 08:34:09 GMT 2023","4262","Vizsgaremek","conduit_test","TestConduit","","","test_login_empty_fields",""
"passed","Fri Apr 14 08:35:20 GMT 2023","Fri Apr 14 08:35:21 GMT 2023","978","Vizsgaremek","conduit_test","TestConduit","","","test_save",""
"passed","Fri Apr 14 08:34:58 GMT 2023","Fri Apr 14 08:35:04 GMT 2023","6395","Vizsgaremek","conduit_test","TestConduit","","","test_comment_delete",""
"passed","Fri Apr 14 08:35:06 GMT 2023","Fri Apr 14 08:35:06 GMT 2023","834","Vizsgaremek","conduit_test","TestConduit","","","test_log_out",""
"passed","Fri Apr 14 08:34:17 GMT 2023","Fri Apr 14 08:34:28 GMT 2023","10796","Vizsgaremek","conduit_test","TestConduit","","","test_article_create1",""
"passed","Fri Apr 14 08:33:58 GMT 2023","Fri Apr 14 08:34:03 GMT 2023","5302","Vizsgaremek","conduit_test","TestConduit","","","test_registration_empty_fields",""
"passed","Fri Apr 14 08:34:12 GMT 2023","Fri Apr 14 08:34:12 GMT 2023","257","Vizsgaremek","conduit_test","TestConduit","","","test_login",""
"passed","Fri Apr 14 08:34:15 GMT 2023","Fri Apr 14 08:34:16 GMT 2023","957","Vizsgaremek","conduit_test","TestConduit","","","test_tags",""
"passed","Fri Apr 14 08:34:29 GMT 2023","Fri Apr 14 08:34:49 GMT 2023","19686","Vizsgaremek","conduit_test","TestConduit","","","test_article_delete",""
"passed","Fri Apr 14 08:34:13 GMT 2023","Fri Apr 14 08:34:14 GMT 2023","982","Vizsgaremek","conduit_test","TestConduit","","","test_page_number",""
"passed","Fri Apr 14 08:33:48 GMT 2023","Fri Apr 14 08:33:50 GMT 2023","2298","Vizsgaremek","conduit_test","TestConduit","","","test_registration",""
"passed","Fri Apr 14 08:33:46 GMT 2023","Fri Apr 14 08:33:47 GMT 2023","1086","Vizsgaremek","conduit_test","TestConduit","","","test_cookies",""
"passed","Fri Apr 14 08:35:07 GMT 2023","Fri Apr 14 08:35:19 GMT 2023","11679","Vizsgaremek","conduit_test","TestConduit","","","test_source",""
"passed","Fri Apr 14 08:34:10 GMT 2023","Fri Apr 14 08:34:11 GMT 2023","830","Vizsgaremek","conduit_test","TestConduit","","","test_login_wrong_password",""
