"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 07:50:20 GMT 2023","Fri Apr 14 07:50:31 GMT 2023","10804","Vizsgaremek","conduit_test","TestConduit","","","test_article_create1",""
"broken","Fri Apr 14 07:51:11 GMT 2023","Fri Apr 14 07:51:15 GMT 2023","4278","Vizsgaremek","conduit_test","TestConduit","","","test_source",""
"passed","Fri Apr 14 07:50:32 GMT 2023","Fri Apr 14 07:50:51 GMT 2023","19718","Vizsgaremek","conduit_test","TestConduit","","","test_article_delete",""
"passed","Fri Apr 14 07:50:07 GMT 2023","Fri Apr 14 07:50:11 GMT 2023","4271","Vizsgaremek","conduit_test","TestConduit","","","test_login_empty_fields",""
"passed","Fri Apr 14 07:50:00 GMT 2023","Fri Apr 14 07:50:06 GMT 2023","5320","Vizsgaremek","conduit_test","TestConduit","","","test_registration_empty_fields",""
"passed","Fri Apr 14 07:51:09 GMT 2023","Fri Apr 14 07:51:09 GMT 2023","840","Vizsgaremek","conduit_test","TestConduit","","","test_log_out",""
"passed","Fri Apr 14 07:50:12 GMT 2023","Fri Apr 14 07:50:13 GMT 2023","846","Vizsgaremek","conduit_test","TestConduit","","","test_login_wrong_password",""
"passed","Fri Apr 14 07:50:18 GMT 2023","Fri Apr 14 07:50:19 GMT 2023","929","Vizsgaremek","conduit_test","TestConduit","","","test_tags",""
"passed","Fri Apr 14 07:51:01 GMT 2023","Fri Apr 14 07:51:08 GMT 2023","6944","Vizsgaremek","conduit_test","TestConduit","","","test_comment_delete",""
"passed","Fri Apr 14 07:50:14 GMT 2023","Fri Apr 14 07:50:14 GMT 2023","279","Vizsgaremek","conduit_test","TestConduit","","","test_login",""
"passed","Fri Apr 14 07:50:53 GMT 2023","Fri Apr 14 07:50:59 GMT 2023","6957","Vizsgaremek","conduit_test","TestConduit","","","test_comment_create",""
"passed","Fri Apr 14 07:49:51 GMT 2023","Fri Apr 14 07:49:53 GMT 2023","2347","Vizsgaremek","conduit_test","TestConduit","","","test_registration",""
"passed","Fri Apr 14 07:49:48 GMT 2023","Fri Apr 14 07:49:49 GMT 2023","1170","Vizsgaremek","conduit_test","TestConduit","","","test_cookies",""
"passed","Fri Apr 14 07:51:16 GMT 2023","Fri Apr 14 07:51:17 GMT 2023","999","Vizsgaremek","conduit_test","TestConduit","","","test_save",""
"passed","Fri Apr 14 07:49:54 GMT 2023","Fri Apr 14 07:49:59 GMT 2023","5344","Vizsgaremek","conduit_test","TestConduit","","","test_registration_wrong_email",""
"passed","Fri Apr 14 07:50:16 GMT 2023","Fri Apr 14 07:50:17 GMT 2023","1066","Vizsgaremek","conduit_test","TestConduit","","","test_page_number",""
